name;Al;Ca;Cd;Co;Cu;Fe;Mg;Mn;Ni;Pb;S;Sc;Si;Zn;dAl;dCa;dCd;dCo;dCu;dFe;dMg;dMn;dNi;dPb;dS;dSc;dSi;dZn;Масса навески (g);sample_mass;Разбавление
T2-6A1;33.01666666666667;49.004999999999995;0.0282;1.6613333333333333;0.028;1318.0;111.7;5.636;47.03666666666667;1.16255;1011.9666666666667;0.9373666666666667;7.5343333333333335;0.92;0.3150132272355146;0.06363961030678666;0.03642924649234458;0.041004064839151325;0.023758787847867998;38.18376618407357;10.889444430272835;0.0519711458407453;0.6978777352325676;1.5746560910243226;46.810931771684814;0.0036363901514184387;0.20816419801044897;0.011596551211459359;0.0;0.0;10.0
T2-6A2;33.120000000000005;49.0;0.027633333333333333;1.663;0.025;1314.5;111.95;5.649666666666666;46.95666666666667;1.1637;1011.4666666666667;0.9407666666666668;7.537;0.9192499999999999;0.30347981810986957;0.014142135623728137;0.03679542544030893;0.037322915213042984;0.022910259710444136;31.81980515339464;11.667261889578034;0.04061198509471466;0.4219399641339204;1.5786865996770858;47.25106700735266;0.0038552993831002663;0.24614832926509964;0.010677312395916868;0.0;0.0;10.0
T2-6B1;19.47;35.71;0.018733333333333334;0.05403333333333333;0.8159000000000001;823.3;10.84;0.3757333333333333;1.2486666666666666;0.85045;130.0666666666667;0.9603999999999999;14.530000000000001;0.06605;0.15716233645501682;0.014142135623728137;0.02474294512246538;0.005578829028867378;0.008343860018001206;15.98061325481599;0.141421356237309;0.00430155010819741;0.022501851775650145;1.112349677484558;11.671475199533837;0.0025119713374160734;0.2920616373302047;0.009828784258493008;0.1005;0.0;0.0
T2-6B2;20.14;37.63;0.018433333333333333;0.05926666666666667;0.82785;864.75;11.075;0.4064666666666667;1.2983333333333333;0.8728;136.0666666666667;0.8916;11.13;0.053349999999999995;0.15874507866387608;0.09899494936611705;0.024292865893783162;0.007223111056416984;0.007848885271170676;2.4748737341529163;0.12020815280171303;0.0049115510109672455;0.021548395145191947;1.1358963332980698;12.99320335149625;0.0036864617182333663;0.23259406699225965;0.010394469683442247;0.945;0.0;0.0
T2-7A1;35.36333333333334;47.58;0.02613333333333334;1.6726666666666665;0.0213;1315.0;113.85;5.657333333333334;47.31666666666666;1.1433000000000002;1030.5;0.9637666666666668;12.25;0.9244;0.5488472768752092;0.3252691193458125;0.034773169733766485;0.03868246803570502;0.021637467504308356;35.35533905932738;12.374368670764582;0.05173329037798937;0.7400900846068229;1.5509680138545736;58.489229777797554;0.003552933060632213;0.2699999999999996;0.012869343417595162;0.0;0.0;10.0
T2-7A2;35.156666666666666;46.730000000000004;0.026400000000000003;1.6633333333333333;0.01965;1296.5;113.1;5.606000000000001;47.00666666666667;1.1257;1026.3;0.9748;11.33;0.91935;0.5251983752196229;0.15556349186104468;0.03387801647086204;0.03580968211717791;0.021001071401240464;26.16295090390226;12.16223663640862;0.052459508194416055;0.7129048557369575;1.5291891249940275;58.65313290865204;0.002762245463386654;0.27513632984395153;0.011808683245815299;0.0;0.0;10.0
T2-L6P6F6A1;2.227;56.185;0.04993333333333333;0.1771;0.00095;2408.5;78.07;2.648;1.4056666666666666;2.27765;1427.6666666666667;0.9300999999999999;8.904333333333334;0.21250000000000002;0.0898387444257767;0.12020815280171429;0.06957192920519979;0.022918769600482492;0.0013435028842544404;53.033008588991066;2.7860007178750057;0.034698703145795;0.03320140559273558;3.1061079577181476;35.24674925909244;0.004978955713801862;0.378419520285798;0.011172287142747457;0.0;0.0;10.0
T2-L6P6F6A2;0.2511333333333334;58.685;0.06926666666666667;0.2171;0.0011;2779.5;78.19;2.703333333333333;1.1916666666666667;3.0176499999999997;1781.6666666666667;0.9236333333333334;4.664666666666666;0.22410000000000002;0.11345291240569073;0.1484924240491756;0.09682150243274133;0.032451040044966205;0.0015556349186104045;126.572113832392;0.15556349186103965;0.04437717130838034;0.03594903800289143;4.103128519191179;79.25486315257464;0.004428694314731295;0.49393555585049087;0.01909188309203678;0.0;0.0;10.0
T2-L6P6F6B1;9.046999999999999;377.15;0.0079;0.01746666666666667;0.0534;307.5;3.6790000000000003;0.14266666666666664;0.2797;0.32505;473.4333333333334;0.8149333333333333;10.105666666666666;0.0554;0.07143528539874464;5.72756492761101;0.006673080248281149;0.003329164059239696;0.008061017305526642;5.656854249492381;0.43840620433565924;0.0016563010998406453;0.013004614565607071;0.3929392383053644;37.7997795408033;0.02120385185133433;0.23959618806094043;0.005798275605729689;0.1087;0.0;0.0
T2-L6P6F6B2;7.487666666666667;320.8;0.005033333333333333;0.01593333333333333;0.0534;223.5;3.1254999999999997;0.12216666666666669;0.17346666666666666;0.2383;346.9666666666667;0.9702333333333333;6.753333333333333;0.02745;0.05064911976859351;3.8183766184073407;0.006747098141670486;0.0025579940057266232;0.005939696961966998;3.9597979746446823;0.05586143571373738;0.0013613718571108115;0.005378041774971004;0.3020760169228931;31.315384930307538;0.005762233363317826;0.11440862438353733;0.001202081528017131;0.1083;0.0;0.0
T2-L6P6F6D1;4.469;229.25;0.004366666666666666;0.03981666666666667;0.3486;143.325;1.7744999999999997;0.07651666666666666;1.3203833333333332;0.1463;297.2166666666667;0.9575833333333333;6.834666666666666;0.044875;0.07531102176972554;12.798632739476526;0.003102552712418168;0.004015698361846089;0.0029698484809834867;8.237794000823262;0.2722361107568208;0.0025866645188994558;0.01285324213314809;0.1650387227289402;35.63149356023872;0.005045872901028446;0.11000151514108068;0.001308147545195111;0.5373;36.686;0.0
T2-L6P6F6D2;8.145333333333335;329.2;0.006116666666666667;0.08255000000000001;0.6784000000000001;217.4;2.31625;0.10715000000000001;3.220166666666666;0.21585;438.9166666666667;0.9268833333333334;9.956;0.076675;0.07595612768785306;0.9899494936611505;0.0044973140132009174;0.00876370355500458;0.005374011537017719;0.7778174593051781;0.2916815472394509;0.0018214005600086984;0.07066882858328247;0.26078098090159874;43.371428767488574;0.008846797914123156;0.17868337919347782;0.0010960155108391458;0.53;17.98;0.0
T2-L6P6F6Z2;0.17736666666666667;46.260000000000005;0.058733333333333325;0.18726666666666666;0.00305;2577.5;65.16;2.2516666666666665;1.36;2.56745;1576.6666666666667;0.9443666666666667;1.1728333333333334;0.1493;0.09868436215193029;0.2262741699796954;0.08096458073338818;0.026444344070771224;0.004313351365237941;105.35891039679558;0.24041630560342858;0.03470350606687069;0.04386342439892253;3.4896426758337307;41.10150037812894;0.004909514572066484;0.41666243331182773;0.019798989873223326;0.0;0.0;10.0
T2-L7P7F7A1;7.015000000000001;66.485;0.08879999999999999;0.48723333333333335;0.00565;3118.5;104.6;3.7900000000000005;6.309333333333334;3.6527;2148.0;0.9079;15.61;0.44394999999999996;0.2491043957861845;0.12020815280170424;0.12368205205283425;0.03393307138078328;0.007990306627407988;458.91230099006935;5.091168824543144;0.06794850991743685;0.18855856738248034;4.955828586624037;197.00761406605582;0.006630233781700319;0.769999999999999;0.02043538597629121;0.0;0.0;10.0
T2-L7P7F7A2;11.979999999999999;64.165;0.10056666666666668;0.5744999999999999;0.00535;3233.5;111.55;4.077000000000001;9.879333333333333;4.1592;2330.6666666666665;0.8921333333333333;20.509999999999998;0.49739999999999995;0.3235737937472692;0.1767766952966369;0.14042173383537654;0.030619601565010604;0.0075660425586960576;412.2432534317572;5.020458146424484;0.060506198029623155;0.2617810790208743;5.656571406779906;265.438002805426;0.005757024694521742;0.9676776322722358;0.024324473272817185;0.0;0.0;10.0
T2-L7P7F7Z1;2.5896666666666666;58.515;0.0691;0.3847333333333333;0.0032;2727.0;82.20500000000001;2.906;6.190666666666666;3.03995;1771.3333333333333;0.9329000000000001;3.2869999999999995;0.33630000000000004;0.1224921766209308;0.24748737341528762;0.09677143173478421;0.023649594781588415;0.004525483399593904;128.69343417595164;4.207285348059959;0.038742741255621;0.15462319791458612;4.136645380619422;73.07758434248721;0.004279018579066922;0.5001309828434949;0.015273506473629432;0.0;0.0;10.0
T2-L7P7F7Z2;6.972666666666666;79.745;0.0846;0.49499999999999994;0.02025;3012.0;97.205;3.4566666666666666;9.286999999999999;3.6954;2077.0;0.9121666666666668;5.867;0.46704999999999997;0.22378635645037287;0.37476659402887097;0.11815735271238942;0.028461025982912135;0.028637824638055174;264.45793616376875;5.084097756731275;0.05153962876596361;0.2797802709270257;5.02554931524903;159.58696688639708;0.004562163229580173;0.6643094158598085;0.019021172413918114;0.0;0.0;10.0
