name;Ca 315.887;Ca 317.933;Co 230.786;Co 231.160;Co 237.863;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 239.563;Fe 258.588;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Sc 335.372;Sc 357.634;Sc 361.383;Масса навески (g);sample_mass;Разбавление
T2-L1P1F1FB41;239.2;220.2;0.7141;0.7343;0.7059;0.7269;3.469;3.498;259.4;247.4;252.4;16.34;16.51;16.36;16.17;0.9688;0.9687;0.9619;109.5;22.702;
T2-L1P1F1FB42;408.5;400.8;0.031;0.0314;0.0291;0.0302;0.0692;0.0784;305.7;310.2;304.3;0.6554;0.658;0.6671;0.6335;0.9461;0.9465;0.9387;118.3;22.702;
T2-L1P1F1N1B31;449.2;442.9;0.0217;0.0221;0.0206;0.0205;0.0719;0.0803;282.1;269.2;261.4;0.6758;0.6785;0.6753;0.6534;0.9163;0.9186;0.9106;105.7;81.987;
T2-L1P1F1N1B32;427.7;421.3;0.0199;0.0188;0.0165;0.0161;0.0579;0.0653;253.2;244.4;253.2;0.4753;0.4786;0.4944;0.4602;0.9301;0.9314;0.927;112.2;81.987;
T2-L1P1F1N1B4;376;368.5;0.0287;0.0278;0.027;0.0268;0.0818;0.0903;297.6;283;277.2;0.6277;0.6301;0.6427;0.6082;0.9241;0.9275;0.9199;106.6;38.657;
T2-L2A11;63.09;63.74;1.566;1.572;1.538;1.975;5.862;6.143;2397 ox;1712 x;2945 ox;48.56 x;47.18 x;48.45 x;47.47 x;0.8948;0.8905;0.8966;;;10
T2-L2A12;61.47;62.03;1.638;1.636;1.567;2.057;6.104;6.387;2533 ox;1848 x;3100 ox;50.77 x;49.35 x;50.66 x;49.55 x;0.8437;0.8397;0.8467;;;10
T2-L2A21;42.77;43.29;1.454;1.448;1.428;1.891;6.375;6.631;1990 ox;1404 x;2519 ox;45.15 x;43.65 x;45.17 x;44.18 x;1.038;1.034;1.037;;;10
T2-L2A22;45.16;45.81;1.544;1.537;1.513;1.989;6.607;6.858;2359 ox;1716 x;2908 ox;48.04 x;46.59 x;47.90 x;46.90 x;0.9007;0.8956;0.9009;;;10
T2-L2B1;26.01;25.36;0.0591;0.0592;;;0.5144;0.5067;221.2;;;1.334;1.332;1.325;1.319;1.029;1.066;1.072;102.7;1.755;
T2-L2B21;36.09;35.78;0.051;0.0517;;;0.4422;0.4339;200.7;;;1.136;1.147;1.131;1.13;1.034;1.066;1.075;95.6;0.096;
T2-L2B22;21.39;20.9;0.0456;0.0453;;;0.3633;0.3564;181.1;;;1.03;1.041;1.02;1.032;1.078;1.104;1.116;105.2;1.638;
T2-L2P2B1;266.3;248;0.0467;0.0477;;;0.1841;0.1866;229.6;;;1.156;1.155;1.144;1.145;0.997;1.033;1.039;98.8;2.375;
T2-L2P2B2;394.1;394.1;0.0729;0.0745;;;0.3241;0.3254;353.1;;;1.946;1.952;1.906;1.92;0.9983;1.034;1.041;163.1;2.59;
T2-L2P2F2B1;274;255.9;0.0131;0.0138;;;0.0352;0.0421;220.8;;;0.2177;0.2021;0.2009;0.1984;1.011;1.043;1.05;100.8;1.263;
