Sample;Al;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм.;мкг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-F12Z1;1655;732;48492;2788;2508;334;6820;56;304;2695;60;17;20;140;253;6;4;4;2;;1914
T2-F12Z2;4044;831;54912;3222;2975;390;8204;27;380;3182;100;38;60;120;203;8;6;5;6;;1114
T2-L12A1;208425;16221;49322;6079;10952;1135;31988;8484;1005;43408;9850;2080;3175;15200;4628;928;1708;124;18;150;160321
T2-L12A2;223958;17682;40250;7136;10160;1155;32368;8394;1075;41057;9050;1935;3225;14275;5038;903;1638;166;15;;164286
T2-N12A1;862;8649;75369;880;60;34;126;24;26;173;20;18;0;200;45;16;6;2;8;;1571
T2-N12A2;89;5372;53659;556;11;28;40;4;22;65;0;20;0;100;25;10;2;2;2;;771
T2-F12A1;3028;584;58607;4445;4712;554;9076;16;522;3858;80;39;80;100;873;6;4;7;6;;771
T2-F12A2;10145;134;62220;5958;5841;676;11800;24;700;5300;160;58;140;120;803;8;12;15;10;;971
T2-P12A1;3900;231;61171;5033;5317;732;8668;44;588;4053;100;57;80;120;1858;6;6;12;6;;829
T2-P12A2;8986;151;65097;6275;6102;796;10242;36;748;4824;120;57;60;120;2185;10;8;12;12;;943
T2-N12G1;40;5991;47431;279;41;30;132;2;24;54;0;20;0;80;45;2;0;1;4;;1086
T2-N12G2;81;6964;63859;727;18;28;22;4;18;66;0;20;0;100;35;6;0;8;2;;914
