name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;;
T13_310_0_1_F;28.80;17.24;0.04;0.01;0.70;0.05;196.64;38.16;3.28;0.03;;True;;
T13_310_0_1_I;33.85;21.71;0.04;0.01;0.73;0.05;191.77;36.19;3.41;0.04;;True;;
T13_310_3_0_1_I;48.24;36.68;0.04;0.01;0.59;0.03;110.74;16.90;2.67;0.01;;True;;
T13_310_3_0_1_С;55.23;45.23;0.03;0.00;0.44;0.02;69.81;9.21;2.16;0.01;;True;;
T13_315_0_1_c??;41.82;29.57;0.04;0.01;0.60;0.04;169.23;29.58;3.11;0.02;;True;;
T13_315_0_1_F;29.63;17.58;0.03;0.01;0.76;0.05;214.85;42.79;3.27;0.02;;True;;
T13_315_0_1_I;31.03;18.94;0.04;0.01;0.75;0.05;203.38;39.26;3.47;0.03;;True;;
T13_375_0_1_C;44.04;32.38;0.02;0.01;0.55;0.03;158.72;27.15;2.39;0.01;;True;;
T13_375_0_1_F;42.87;0.91;0.06;0.00;0.70;0.00;270.23;1.65;3.04;0.01;;True;;
T13_375_0_1_I;28.70;16.88;0.04;0.01;0.71;0.05;202.44;38.97;3.34;0.03;;True;;
T15_105_2_1_С;81.00;66.84;0.01;0.02;0.07;0.00;79.18;5.94;0.21;0.01;;True;;
T15_110_1_1_C;86.00;73.01;0.01;0.01;0.15;0.01;63.44;2.58;0.34;0.01;;True;;
T15_110_1_1_I;10.93;2.59;0.04;0.00;0.73;0.01;100.94;9.63;1.47;0.03;;True;;
T15_115_1_1_C;83.79;74.57;0.01;0.01;0.08;0.00;47.26;1.65;0.14;0.01;;True;;
T15_115_2_1_С;77.29;64.43;0.01;0.01;0.15;0.01;44.00;1.28;0.37;0.01;;True;;
T15_115_310_1_1_I ???;18.59;6.49;0.07;0.08;0.28;0.01;294.90;56.92;0.93;0.04;;True;;
T15_210_1_1_C;63.06;47.91;0.03;0.03;0.17;0.01;135.33;13.10;0.46;0.02;;True;;
T15_210_1_1_F;49.86;27.02;0.05;0.06;0.26;0.01;243.14;25.83;0.75;0.03;;True;;
T15_210_1_1_I;36.52;21.63;0.05;0.06;0.27;0.01;215.44;32.30;0.77;0.03;;True;;
T15_310_0_1_С;40.29;24.72;0.05;0.06;0.20;0.01;233.19;37.01;0.69;0.03;;True;;
T17_105_2_1_C;83.58;69.33;0.02;0.01;0.14;0.01;61.09;2.38;0.32;0.01;;True;;
T17_110_1_1_C;78.60;64.75;0.01;0.01;0.13;0.01;46.24;1.45;0.27;0.01;;True;;
T17_110_1_1_I;85.57;74.23;0.02;0.01;0.23;0.01;55.39;1.92;0.41;0.01;;True;;
аов 1.21f;3.57;0.17;0.74;0.10;28.03;0.24;111.85;12.65;29.97;0.68;Концентрат флотации образца АОВ1.2;True;;
аов 1.31F;4.58;0.20;1.40;0.13;36.29;0.14;138.19;17.88;53.20;0.90;Концентрат флотации образца АОВ 1.3;True;;
АОВ 1.11;8.34;1.16;0.31;0.15;6.84;0.14;240.35;43.27;16.60;0.16;????;True;;
АОВ_1.1_1_I;7.08;0.55;0.36;0.17;9.65;0.25;248.38;48.26;17.79;0.14;Промежуточный продукт флотации образца АОВ 1.1;True;;
АОВ_1.2_1_I;7.00;0.51;0.63;0.19;13.46;0.41;251.13;48.31;23.23;0.24;Промежуточный продукт флотации образца АОВ1.2;True;;
АОВ_1.2_1_С;8.48;1.59;0.19;0.07;3.32;0.05;245.87;55.41;7.01;0.06;Камерный продукт флотации АОВ1.2;True;;
АОВ_1.3_1_I;6.69;0.42;0.67;0.20;6.77;0.20;259.06;52.20;23.55;0.22;Промежуточный продукт флотации АОВ1.2;True;;
АОВ_1.3_1_С;9.79;1.89;0.16;0.05;1.22;0.04;241.79;45.19;4.65;0.06;Камерный продукт флотации АОВ1.3;True;;
АОВ1.1_1_F;16.34;6.14;0.30;0.06;9.64;0.18;93.01;9.05;16.63;0.22;Концентрат флотации АОВ1.1;True;;
МСП 113.4;22.73;1.76;0.27;0.02;2.03;0.34;247.41;62.15;10.01;0.67;МСП;True;;
Т13_115_0_1_I;62.16;50.77;0.02;0.01;0.23;0.01;31.33;1.09;1.07;0.02;;True;;
Т13;55.00;0.00;0.00;0.00;0.49;0.02;327.50;1.00;3.50;0.00;Хвосты отвальные 1-3;True;;
NV-1-3-I;10.39;3.70;0.28;0.12;5.05;1.04;183.49;22.79;14.20;0.28;Промежуточный продукт флотации образца нитритного выщелачивания NV_1_3;True;;
NVI-1;20.92;13.42;0.19;0.08;4.65;0.99;138.93;17.85;10.38;0.20;Твердый продукт нитритного выщелачивания NV_1_1;True;;
AVI3-2-1-F;38.73;24.05;0.11;0.06;1.02;0.01;120.30;7.61;2.68;0.03;Концентрат флотации после САВ образца AV13;True;;
