Метки Образцов;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Mg 279.553;Mg 279.800;Mg 280.270;Mg 285.213;Mn 257.610;Mn 259.372;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Pb 405.781;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.432;Si 251.611;Si 252.411;Si 252.851;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 328.233;Zn 334.502;Zn 334.557;Zn 472.215
T2-3B;18.12 x;некал ;17.68 x;31,41;32,08;некал ;8.903 o;33,76;0,0087;0,0456;-0.0006 uv;0,0581;0,0669;0,0494;некал ;0,067;0,7432;0,7864;778,1;некал ;некал ;776,3;некал ;некал ;9,919;некал ;9,67;некал ;некал ;0,3535;0,3583;некал ;1,432;1,344;1,285;1,384;1,374;0,0618;1,578;некал ;некал ;некал ;некал ;152,4;1,016;0,9952;0,9893;3,447;6,822;некал ;3,764;1,94;3,514;0,1398;0,1233;0,1961;19.51 x;некал ;некал ;некал 
T2L4P4B2;6,436;некал ;6,54;257,1;246,5;некал ;8.078 o;191.6 o;0,0028;0,0117;0.0018 uv;0,0214;0,0231;0,0127;некал ;0,0192;0,1983;0,2095;208,3;некал ;некал ;215,1;некал ;некал ;3,712;некал ;3,625;некал ;некал ;0,1241;0,1272;некал ;0,6602;0,6294;0,6009;0,6597;0,6447;0,0279;0,4234;некал ;некал ;некал ;некал ;389,5;1,016;0,9968;0,9921;7,002;3,924;некал ;7,336;4,055;7,131;0,0682;0,064;0,0869;6,524;некал ;некал ;некал 
T2-L4P4B1;6,982;некал ;7,089;233;223,2;некал ;8.277 o;194.7 o;0,0025;0,0146;0.0015 uv;0,0269;0,0275;0,0163;некал ;0,0229;0,2078;0,2204;238,6;некал ;некал ;247,3;некал ;некал ;4,384;некал ;4,294;некал ;некал ;0,1479;0,1502;некал ;0,7023;0,664;0,6388;0,6996;0,6769;0,0229;0,517;некал ;некал ;некал ;некал ;396,9;0,9838;0,982;0,9696;9,059;4,937;некал ;9,492;5,238;9,277;0,0691;0,0644;0,0904;7,567;некал ;некал ;некал 
T2-L4P4F4C4N4B1;5,287;некал ;5,364;347,9;355,7;некал ;8.187 o;203.0 o;0,0027;0,0145;0,0012;0,0275;0,0317;0,0179;некал ;0,0257;0,0189;0,0284;243,3;некал ;некал ;251,8;некал ;некал ;5,366;некал ;5,35;некал ;некал ;0,1845;0,1879;некал ;0,5318;0,4975;0,4778;0,5326;0,5133;0,0175;0,5116;некал ;некал ;некал ;некал ;377,6;0,9648;0,9699;0,9519;9,892;5,243;некал ;10,39;5,702;10,12;0,1192;0,1155;0,1441;5,458;некал ;некал ;некал 
T2-L4B1;9,057;некал ;9,134;50,44;51,57;некал ;8.798 o;51,69;0,0018;0,0113;0.0009 uv;0,0436;0,0428;0,027;некал ;0,0389;0,3906;0,4026;210,1;некал ;некал ;218,4;некал ;некал ;6,959;некал ;6,782;некал ;некал ;0,2571;0,2603;некал ;0,9042;0,8776;0,8285;0,9094;0,8977;0,0475;0,4412;некал ;некал ;некал ;некал ;521;1,003;0,9962;0,9829;9,508;4,778;некал ;9,931;5,49;9,712;0,0925;0,0871;0,1094;11.74 x;некал ;некал ;некал 
T2-L4B2;12.94 x;некал ;12.83 x;58,28;59,31;некал ;8.415 o;59,49;0,0019;0,0126;0,002;0,0496;0,0492;0,0299;некал ;0,0442;0,4783;0,4914;223,1;некал ;некал ;236,8;некал ;некал ;7,845;некал ;7,512;некал ;некал ;0,2962;0,299;некал ;1,068;1,042;0,9834;1,069;1,063;0,0662;0,4859;некал ;некал ;некал ;некал ;585,7;1,032;1,028;1,02;3,702;2,955;некал ;3,902;2,163;3,783;0,0954;0,0891;0,1138;16.29 x;некал ;некал ;некал 
T4-4C;22.35 x;некал ;21.76 x;49,69;50,73;некал ;9.142 o;53,73;0,009;0,0516;-0.0002 uv;0,0633;0,0754;0,0534;некал ;0,0813;0,9035;0,9506;1072;некал ;некал ;984,1;некал ;некал ;12,97;некал ;12,66;некал ;некал ;0,4831;0,4889;некал ;1,577;1,481;1,401;1,515;1,505;0,0767;1,84;некал ;некал ;некал ;некал ;192,3;0,9608;0,9667;0,9489;12.64 x;11,11;некал ;13.29 x;7,087;12.83 x;0,0969;0,0783;0,1597;26.32 x;некал ;некал ;некал 
T2-L4P4F4C4B1;9,432;некал ;9,549;252,6;242,5;некал ;8.296 o;197.6 o;0,0034;0,0156;0.0025 uv;0,022;0,0263;0,0108;некал ;0,0201;0,0498;0,0598;264,9;некал ;некал ;274,4;некал ;некал ;3,741;некал ;3,617;некал ;некал ;0,1301;0,1329;некал ;0,436;0,4038;0,3847;0,4306;0,4148;0,02;0,543;некал ;некал ;некал ;некал ;399;0,9774;0,9776;0,9619;9,179;5,158;некал ;9,653;5,308;9,351;0,1476;0,1435;0,1704;10,22;некал ;некал ;некал 
T2-L3P3F3N3C2;3,673;некал ;3,749;193,5;186,4;некал ;7.944 o;181.8 o;0,0018;0,0087;0.0002 uv;0,0101;0,0113;0,0037;некал ;0,0066;0,0159;0,0217;159,1;некал ;некал ;163,3;некал ;некал ;3,908;некал ;3,766;некал ;некал ;0,1069;0,1091;некал ;0,1842;0,164;0,1571;0,1711;0,17;0,0376;0,3276;некал ;некал ;некал ;некал ;194,3;1,034;1,027;1,019;1,807;1,763;некал ;1,906;1,07;1,847;0,171;0,1689;0,1842;4,096;некал ;некал ;некал 
T2-L3P3F3;7,229;некал ;7,375;290,8;279;некал ;8.059 o;192.5 o;0,0017;0,0106;0,0016;0,018;0,0169;0,0064;некал ;0,0127;0,0191;0,0267;198,9;некал ;некал ;203,4;некал ;некал ;3,796;некал ;3,697;некал ;некал ;0,1287;0,1319;некал ;0,18;0,1595;0,1504;0,1792;0,1631;0,0189;0,3808;некал ;некал ;некал ;некал ;422,4;1,004;0,9961;0,9883;9,507;4,691;некал ;9,983;5,522;9,742;0,0502;0,0484;0,0646;7,536;некал ;некал ;некал 
