name;Сa;dCa;Сo;dCo;Cu ;dCu;Fe;dFe;Ni;dNi
S_3;;;1,23;0,59;0,04;0,04;4280,60;1949,28;20,36;0,52
S_4;;;5,79;1,59;0,06;0,04;10820,80;6242,93;106,43;2,98
PV1_100;;;197,22;6,27;894,00;0,00;11886,00;2310,41;6580,75;115,13
PV2_100;;;219,44;8,37;1155,00;0,00;14816,00;3147,60;7648,25;128,31
LST_A _10;;;18,66;3,19;31,15;1,44;48322,00;22062,35;469,25;9,70
LST_B_10;;;7,79;0,90;13,55;0,63;24808,00;11081,01;201,80;3,88
S_A_10;;;18,12;4,86;41,66;1,74;53176,00;24539,33;419,35;9,61
Vd_148_1;587,4;0,141421356;1,175;11,1428639;0,024;0,067882251;20210;7521,87809;62,69;2,704708857
Vd_148;1099,5;0,707106781;8,77;22,8934958;179,6;4,242640687;24058;9589,205911;485,8;14,82548482
Vd_148 x10;2570;16,97056275;4,672;93,9525666;304,35;8,697413409;216620;80983,9305;1149,2;22,67597848
ISO_2;552,25;0,494974747;0,083;5,766114029;0,1735;0,210010714;17378;5215,277557;26,224;0,903399137
ISO_3;566,75;0,494974747;3,2588;3,861035315;0,101;0,127279221;12706;2234,631961;131,68;1,005982107
Vd_1272;505,35;4,171930009;10,094;20,91861444;106,65;2,333452378;24646;10114,83218;529,76;9,530634816
Vd_1272_1;538,3;0,989949494;1,789;7,391365131;0,0635;0,115258405;17574;5724,869431;63,804;1,454743964
Vd_115_1;592,4;0,282842712;5,0912;9,992257638;0,027;0,067882251;20644;7620,61218;150,84;2,948389391
Vd_1272 x10;519,75;2,61629509;4,75;37,7710491;83,955;0,643467171;136740;27165,29035;557,88;8,235107771
