Метки Образцов;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Mg 279.553;Mg 279.800;Mg 280.270;Mg 285.213;Mn 257.610;Mn 259.372;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Pb 405.781;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.432;Si 251.611;Si 252.411;Si 252.851;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 328.233;Zn 334.502;Zn 334.557;Zn 472.215
T2-9A1;36.23 x;36.66 x;36.49 x;47.95;47.79;некал ;10.09 o;53.02;0.0132;0.0684;0.0013 uv;1.73;1.74;1.672;0.6756;1.747;0.0993;0.1372;1344 x;некал ;некал ;1319 x;некал ;некал ;125.0 x;некал ;99.89 x;5.766;6.48;5.745;5.803;6.022;48.11;48.01;47.88;47.5;47.62;0.0472;2.217;0.0963;1005;953.1;981.4;961.7;0.9867;0.9943;0.9858;9.049;11.65 x;9.264;9.552;5.159;9.26;0.9471;0.9456;1.199;некал ;1.25;некал ;0.8126
T2-9A2;36.38 x;36.87 x;36.63 x;47.98;47.65;некал ;10.12 o;53.02;0.013;0.0676;0.0010 uv;1.73;1.741;1.672;0.6772;1.749;0.1028;0.1404;1351 x;некал ;некал ;1330 x;некал ;некал ;126.0 x;некал ;100.3 x;5.746;6.48;5.781;5.813;6.05;48.19;48.47;47.95;47.45;47.79;0.052;2.217;0.0993;1013;958;983.1;965.1;0.9785;0.9889;0.9814;9.506;11.88 x;9.739;9.999;5.417;9.727;0.9541;0.953;1.204;некал ;1.265;некал ;0.8385
T2-P9A1;4.168;4.574;4.35;75.82;75.73;некал ;10.73 o;89.86;0.0418;0.2768;0.0036;0.6386;0.6937;0.7039;-1.337 uv;0.8205;-0.0064 uv;0.0148;3531 ox;некал ;некал ;3257 ox;некал ;некал ;159.9 x;некал ;128.2 x;5.182;9.829;5.211;5.233;7.399;6.928;6.578;6.442;6.334;6.487;0.1704;8.372;0.2459;2778 x;2058 x;2409 x;2651 x;0.9064;0.9113;0.915;11.43;35.94 x;11.68;13.05 x;5.923;11.66;0.5681;0.5257;0.8758;некал ;1.92;некал ;0.443
T2-P9A2;5.941;6.443;6.255;65.19;65.08;некал ;10.79 o;78.04;0.0429;0.2832;0.0022;0.6716;0.7199;0.7407;-1.412 uv;0.8625;-0.0069 uv;0.0178;3298 ox;некал ;некал ;3258 ox;некал ;некал ;162.9 x;некал ;130.6 x;5.281;10.12;5.324;5.344;7.577;6.355;5.99;5.848;5.755;5.92;0.1753;8.331;0.2645;2876 x;2078 x;2461 x;2733 x;0.902;0.9135;0.914;15.46 x;38.23 x;15.79 x;17.23 x;8.155;15.89 x;0.5857;0.5422;0.8948;некал ;2.009;некал ;0.4713
T2-L9A1;305.9 x;314.2 x;288.1 x;58.68;58.85;некал ;12.60 o;77.81;0.1258;0.9284;0.007;1.307;1.323;1.311;-2.490 uv;2.007;11.17;11.68;3859 ox;некал ;некал ;4047 ox;некал ;некал ;190.1 x;некал ;164.6 x;8.236;22.23 x;8.303;8.306;15.38 x;38.98;37.88;37.47;36.86;37.66;0.7438;23.94 x;0.7823;19490 x;3507 x;5473 x;11540 x;0.777;0.7785;0.7933;9.533;90.24 x;9.155;13.74 x;3.815;9.028;1.158;0.8968;2.298;некал ;5.75;некал ;0.8893
T2-L9A2;305.1 x;313.1 x;286.3 x;59.32;59.49;некал ;12.43 o;79.04;0.121;0.8948;0.0067;1.26;1.286;1.3;-2.534 uv;1.96;11.14;11.65;4029 ox;некал ;некал ;3948 ox;некал ;некал ;194.1 x;некал ;165.7 x;8.209;21.83 x;8.354;8.33;15.38 x;37.48;36.84;36.04;35.33;36.33;0.7439;22.89 x;0.7983;19340 x;3481 x;5374 x;11350 x;0.779;0.7869;0.8006;7.553;87.59 x;7.058;11.68;2.826;7.077;1.131;0.8789;2.235;некал ;5.703;некал ;0.8772
T2-F9A1;5.213;5.558;5.411;60.36;59.67;некал ;10.47 o;69.36;0.0274;0.1821;0.0004 uv;0.4453;0.4954;0.4906;-1.199 uv;0.5762;-0.0037 uv;0.0235;2926 x;некал ;некал ;2919 ox;некал ;некал ;122.6 x;некал ;102.8 x;3.829;7.066;3.908;3.906;5.558;7.937;7.842;7.559;7.419;7.703;0.1249;5.775;0.1429;2072 x;1685 x;1869 x;1939 x;0.9246;0.9395;0.9404;17.45 x;28.57 x;17.84 x;18.72 x;9.383;17.90 x;0.4144;0.3903;0.6308;некал ;1.379;некал ;0.3155
T2-F9A2;7.648;8.085;7.962;60.55;60.44;некал ;10.78 o;71.56;0.0346;0.2193;0.0027;0.4944;0.5494;0.5488;-1.211 uv;0.636;-0.0053 uv;0.0071;2937 ox;некал ;некал ;3057 ox;некал ;некал ;124.0 x;некал ;106.0 x;4.161;7.722;4.194;4.215;5.908;9.108;8.868;8.75;8.734;8.771;0.14;6.547;0.1991;2193 x;1762 x;1995 x;2104 x;0.9095;0.9174;0.9151;20.50 x;32.90 x;21.09 x;22.82 x;11.29;21.45 x;0.453;0.4217;0.7262;некал ;1.55;некал ;0.3755
T2-F9Z1;0.9033;1.067;0.9477;53.78;53.87;некал ;10.51 o;60.75;0.0229;0.1326;0.0001 uv;0.3257;0.3612;0.3492;-0.8859 uv;0.403;-0.0043 uv;0.0036;2283 x;некал ;некал ;2318 x;некал ;некал ;81.46;некал ;76.65;2.613;4.758;2.632;2.648;3.687;5.455;5.273;5.229;5.173;5.248;0.0878;4.196;0.1037;1401 x;1270 x;1345 x;1334 x;0.939;0.9484;0.9443;2.514;16.30 x;2.473;3.059;1.19;2.465;0.2775;0.2579;0.4334;некал ;0.9251;некал ;0.2167
T2-F9Z2;3.866;4.092;3.992;54.92;54.54;некал ;10.67 o;62.76;0.0234;0.152;0.0009;0.3635;0.4012;0.3889;-0.9636 uv;0.4521;-0.0046 uv;0.0059;2490 x;некал ;некал ;2552 ox;некал ;некал ;87.52;некал ;82.65;2.868;5.302;2.872;2.898;4.078;6.646;6.463;6.383;6.313;6.409;0.0968;4.772;0.1081;1575 x;1395 x;1495 x;1493 x;0.9257;0.9339;0.9303;4.152;18.99 x;4.184;4.868;2.128;4.151;0.3415;0.3204;0.5213;некал ;1.076;некал ;0.2777
T2-N9A2;0.0856;0.0965;0.0904;57.99;57.57;некал ;9.972 o;59.98;0.0003;0.0007;0.0008;0.0251;0.0237;0.0243;0.0187;0.0231;0.0032;0.0045;13.79;некал ;некал ;13.86;некал ;некал ;49.31;некал ;46.67;0.1428;0.1425;0.1427;0.1421;0.1406;0.0195;0.0161;0.0171;0.0172;0.0176;-0.0011 uv;0.0244;0.0636;135;128.5;125.7;124.2;0.9909;0.9981;0.992;0.2306;0.176;0.2417;0.2315;0.1313;0.2276;0.0079;0.0088;0.0087;некал ;0.0244;некал ;0.0324
T2-N9G1;0.008;0.0201;0.011;44.99;44.52;некал ;10.13 o;47.21;0.0001;0.0006;0.0007;0.0248;0.0232;0.0239;0.0194;0.0228;0.0036;0.0045;10.28;некал ;некал ;10.29;некал ;некал ;61.28;некал ;57.2;0.2112;0.2008;0.2144;0.21;0.2034;0.0135;0.0108;0.0118;0.0125;0.012;-0.0010 uv;0.018;0.0699;134.9;128.3;125.8;124.7;0.9759;0.9872;0.9823;0.0729;0.091;0.0692;0.0755;0.0407;0.0723;0.0132;0.0142;0.0136;некал ;0.0257;некал ;0.048
T2-N9G2;0.017;0.0305;0.0216;52.09;51.79;некал ;10.07 o;54.28;0.0003;0.0018;0.0008;0.0276;0.0267;0.0263;0.0146;0.0253;0.0022;0.0044;27.98;некал ;некал ;28.2;некал ;некал ;52.37;некал ;49.42;0.0992;0.1188;0.0992;0.0986;0.1081;0.0808;0.0793;0.0775;0.0778;0.0796;-0.0021 uv;0.05;0.0677;144.9;136.4;133.5;132.3;0.9824;0.9892;0.9832;0.0888;0.2075;0.0863;0.0941;0.053;0.0867;0.0168;0.0181;0.0186;некал ;0.0374;некал ;0.0512
T2-N9A1;0.0226;0.0322;0.0252;56.71;56.05;некал ;9.993 o;58.86;0.0002;0.0007;0.0007;0.0248;0.024;0.0245;0.0184;0.0235;0.003;0.0044;12.69;некал ;некал ;12.51;некал ;некал ;67.44;некал ;61.29;0.2252;0.2174;0.2309;0.2252;0.2199;0.0115;0.0088;0.0098;0.0098;0.0099;-0.0007 uv;0.0267;0.0715;158.2;146.8;143.3;142.1;0.9749;0.9903;0.9842;0.083;0.1083;0.0815;0.0849;0.0452;0.0825;0.0124;0.0138;0.013;некал ;0.0279;некал ;0.047
