Метки Образцов;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Cd 214.439;Cd 226.502;Cd 228.802;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Mg 279.553;Mg 279.800;Mg 280.270;Mg 285.213;Mn 257.610;Mn 259.372;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;Pb 405.781;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.432;Si 251.611;Si 252.411;Si 252.851;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 328.233;Zn 334.502;Zn 334.557;Zn 472.215
T2-F8D2;8.586;8.661;8.78;337.5;323.8;некал ;9.553 o;222.2 o;0.0038;0.0137;0.0037;0.0654;0.0663;0.0529;-0.1125 uv;0.0625;1.626;1.602;229.1;некал ;некал ;230.4;некал ;некал ;3.177;некал ;3.235;0.1144;0.35;0.1136;0.1155;0.2312;2.233;2.245;2.199;2.191;2.215;0.021;0.4239;0.0362;484.5;473.2;473.1;464.4;0.9377;0.9426;0.9347;9.138;4.664;9.423;9.483;5.302;9.443;0.0507;0.036;0.0608;некал ;0.0837;некал ;0.0567
T2-F8D1;8.574;8.684;8.815;314.7;296.5;некал ;9.540 o;222.8 o;0.0041;0.0118;0.0037;0.0762;0.0743;0.0642;-0.0952 uv;0.0719;2.089;2.036;195.6;некал ;некал ;194.9;некал ;некал ;2.677;некал ;2.678;0.1036;0.3025;0.1042;0.1051;0.2062;3.178;3.241;3.133;3.101;3.184;0.0227;0.3662;0.03;509.8;489.9;489.6;481.1;0.9256;0.937;0.9316;10.01;4.679;10.35;10.37;5.77;10.31;0.0611;0.0436;0.0694;некал ;0.0843;некал ;0.0604
T2-P8B1;6.364;6.457;6.492;290.1;272.9;некал ;9.734 o;225.2 o;0.0024;0.0113;0.0027;0.0234;0.0251;0.0167;-0.1232 uv;0.0235;0.207;0.2087;212.1;некал ;некал ;211.6;некал ;некал ;4.532;некал ;4.602;0.151;0.362;0.1512;0.1539;0.2613;0.6371;0.6299;0.6139;0.6222;0.6218;0.0159;0.3894;0.0291;330.9;320.4;316;311.3;0.9134;0.9265;0.921;11.46;5.3;11.87;11.92;6.573;11.85;0.0458;0.0426;0.056;некал ;0.0882;некал ;0.064
T2-N8B2;5.288;5.371;5.399;366.2;358;некал ;9.545 o;223.5 o;0.0024;0.0114;0.0035;0.0257;0.0245;0.0188;-0.1261 uv;0.0217;0.0427;0.0501;212.8;некал ;некал ;210.4;некал ;некал ;5.324;некал ;5.426;0.1819;0.3901;0.183;0.1841;0.2902;0.4584;0.4487;0.4345;0.4496;0.4434;0.0175;0.3993;0.0296;299;290.3;282.6;278.5;0.9239;0.9383;0.9325;11.87 x;5.458;12.29 x;12.33 x;6.808;12.29 x;0.0416;0.0399;0.0525;некал ;0.08;некал ;0.0562
T2-8B2;21.52 x;21.69 x;21.64 x;55.6;54.93;некал ;10.26 o;59.75;0.0084;0.0502;0.0001 uv;0.0591;0.0734;0.0569;-0.5078 uv;0.0814;0.8796;0.8861;958.1;некал ;некал ;949.6;некал ;некал ;10.86;некал ;10.9;0.4612;1.413;0.4664;0.4676;0.9365;1.438;1.389;1.338;1.325;1.362;0.0802;1.739;0.0627;150.7;143.8;140.9;139.2;0.9573;0.9684;0.9633;8.62;9.29;8.875;8.991;4.873;8.838;0.0829;0.0661;0.1275;некал ;0.3187;некал ;0.0515
T2-F8B2;5.274;5.35;5.376;335.9;321.4;некал ;9.196 o;213.4 o;0.0017;0.0092;0.0019;0.0149;0.0182;0.0122;-0.1048 uv;0.0153;0.0483;0.0548;168.7;некал ;некал ;168.8;некал ;некал ;4.085;некал ;4.123;0.1334;0.3009;0.1319;0.134;0.2186;0.3731;0.3633;0.354;0.3691;0.3591;0.0156;0.3274;0.0224;344.4;334.7;329.7;324.5;0.9669;0.9775;0.9695;10.69;4.768;11.04;11.13;6.176;11.08;0.034;0.0324;0.042;некал ;0.0558;некал ;0.0484
T2-8B1;20.69 x;20.84 x;20.76 x;49.15;48.83;некал ;10.49 o;53.25;0.0078;0.0474;0.0002 uv;0.0592;0.0725;0.0574;-0.4916 uv;0.08;0.868;0.8746;890.2;некал ;некал ;903.4;некал ;некал ;11.97;некал ;12.01;0.4504;1.348;0.4551;0.4585;0.8977;1.444;1.389;1.351;1.353;1.373;0.072;1.635;0.0589;136.8;131.4;128.7;127.2;0.9457;0.9597;0.9493;13.92 x;11.02;14.37 x;14.61 x;7.835;14.42 x;0.071;0.0546;0.1149;некал ;0.2934;некал ;0.0584
T2-F8B1;8.722;8.807;8.946;348;336.1;некал ;9.370 o;218.4 o;0.0028;0.0155;0.0021 uv;0.0231;0.0266;0.0146;-0.1562 uv;0.0224;0.0875;0.096;264.1;некал ;некал ;261.5;некал ;некал ;4.779;некал ;4.839;0.1635;0.4444;0.1642;0.166;0.3059;0.3963;0.3758;0.3665;0.3803;0.3698;0.0198;0.5363;0.0352;385.4;373.3;367.8;362.2;0.9452;0.9563;0.9507;11.59 x;5.836;11.98 x;12.04 x;6.66;12.03 x;0.0427;0.0393;0.0557;некал ;0.086;некал ;0.0501
T2-P8B2;7.148;7.304;7.343;326.8;322.3;некал ;9.352 o;217.4 o;0.0031;0.0136;0.0028;0.0295;0.0284;0.0208;-0.1435 uv;0.0269;0.221;0.2252;236.8;некал ;некал ;240.7;некал ;некал ;4.854;некал ;4.893;0.1661;0.4025;0.1652;0.1682;0.2883;0.7539;0.7377;0.7259;0.7371;0.7265;0.0187;0.4502;0.0358;384.5;372;366;360.6;0.952;0.9613;0.9544;12.10 x;5.767;12.50 x;12.65 x;6.96;12.58 x;0.0687;0.0649;0.0791;некал ;0.1113;некал ;0.0654
T2-N8B1;5.441;5.535;5.545;367.4;370.5;некал ;9.246 o;217.7 o;0.0032;0.013;0.0054;0.0255;0.0248;0.019;-0.1395 uv;0.0228;0.0484;0.0566;230.7;некал ;некал ;230;некал ;некал ;5.156;некал ;5.198;0.1514;0.3844;0.151;0.1535;0.2702;0.4242;0.4113;0.4008;0.4115;0.4039;0.0186;0.4474;0.03;305.7;297.8;290.6;286.4;0.9604;0.9663;0.9565;8.287;4.391;8.528;8.63;4.813;8.572;0.0529;0.0508;0.0632;некал ;0.0838;некал ;0.0616
