Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb;;;
;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;;;
X1-Q14G1;37;98;12;57.6;5762;13;0.6;1.3;4.3;13.2;18.1;54;1;1;3;14;357.3;24.0;0.3;0.8;6.8;29;102;;;
X1-L14A2;0.8;500;8;7;18;0;0;1;1.6;1.2;1.7;196;1;0;1;4;2.4;14.5;0.0;0.6;2.6;97;7;;;
X1-L14A1;1.6;657;4;12.8;44;0;0.2;1.2;1.3;1.9;2.4;403;2;0;1;5;1.6;8.8;0.2;0.5;1.4;118;12;;;
T1-P17A1;119;135;5;11.1;2700;184;196.9;29.2;221.4;1.2;26.3;95;3;2;3;5;32;2.0;0.9;2.8;0.9;1;15;;;
T1-P17A2;48;132;4;7.4;2827;202;191;28.8;139.3;1.1;26.7;75;2;2;2;5;18;4.2;0.6;2.6;0.6;1;53;;;
T1-17A1;1303;39;1;21.6;2712;242;43.6;73.9;2395.8;80.1;47.9;496;12;1;1;5;101;6.5;0.9;1.8;0.3;1;105;;;
T1-17A2;1307;40;1;18;2750;247;45.1;75;2415.9;80.9;47.9;516;13;1;1;5;99.7;5.7;0.8;1.2;0.6;0;102;;;
X1-Q14G2;22;90;0;18.8;5121;10;0.2;1.2;1.9;1.5;2.6;87;0;2;1;11;294.1;7.8;0.2;14.0;0.5;73;152;;;
X1-14A1;1.0;1;0;17.9;22;0;0;1.3;1.1;0.1;0.3;0;0;0;0;4;3.8;9.2;0.2;0.5;0.0;6;15;;;
T1-P17G1;194;127;1;17.8;2691;166;184.3;27.8;222.5;3.3;24.6;107;7;3;3;9;37.6;2.5;1.4;2.3;0.2;12;73;;;
T1-P17G2;54;114;1;21.6;2888;172;167.9;26.6;132.4;1.2;22.9;66;2;1;1;5;13.2;3.5;0.5;2.0;0.3;3;18;;;
T1-L17A1;6351;544;0;711.4;2346;256;261.1;43;1438.6;160.7;42.6;1564;344;67;80;651;130.2;45.7;76.6;5.8;0.9;21;5975;;;
T1-L17A2;6794;537;0;737.2;2439;272;275.2;44.3;1488.5;171.3;44.4;1587;348;71;72;674;137.3;46.0;80.0;5.8;0.9;24;6353;;;
T1-L16A1;7351;575;0;773.7;2162;288;288.6;46.9;1555.1;163.8;47.7;1774;393;86;104;109;147;49.4;91.5;8.0;0.9;21;3813;;;
T1-L16A2;6457;513;0;684.1;1929;247;268.8;43.9;1470.0;161;43.7;1522;343;71;86;92;128;45.4;79.2;11.2;0.9;26;2915;;;
T1-16A1;1336;38;0;21.4;2707;245;43.7;74.9;2418.1;80.9;48.1;513;12;1;1;5;99.8;3.2;0.9;1.4;0.2;0;108;;;
T1-16A2;1319;39;0;23.6;2671;242;44.8;73.7;2367.8;79.2;47.1;497;12;1;1;5;100.8;3.1;0.8;0.9;0.0;0;107;;;
T1-L16G2;6264;505;0;662.6;2249;242;265;43.3;1460.9;151.6;43.3;1498;333;58;60;249;167.4;42.9;74.8;3.4;0.5;18;3887;;;
M1-L15A2;107;674;0;21.3;99;235;18.2;8;1838.5;4.9;25.2;1060;12;1;15;13;16.1;6.2;0.6;1.4;1.2;89;403;;;
M1-L15A1;104;653;0;23.8;94;224;17.3;7.6;1758.3;5.5;25.8;927;10;1;14;17;15.4;7.7;0.5;1.2;1.5;67;465;;;
M1-15A2;150;23;0;21;138;319;24.4;10.4;2485.7;1.9;29.7;683;21;11;24;16;23.4;13.5;14.2;10.6;2.5;9;758;;;
M1-15A1;143;23;0;19.8;100;319;24.6;10.4;2487.8;1.8;28.2;667;11;0;22;17;21.5;7.2;0.5;1.4;2.3;1;517;;;
M1-P15A2;4.4;79;0;33.7;2926;125;117.8;5.1;391.7;0.5;16.5;113;2;2;1;4;25.2;2.6;0.3;1.5;0.2;9;13;;;
M1-P15A1;5.6;72;0;52.8;2973;122;112;4.8;167.9;0.5;11.1;56;1;2;0;5;36.1;2.2;0.2;1.7;0.2;10;37;;;
