Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Hg;Pb
ед. изм;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л
T2-F6D21;6781.9;146.9;6279;930;198919;63;93;40.4;1149;362.9;28.5;1010;192.8;259;459;397;384;13.5;28.5;99.75;24.2;457;6477
T2-N6E22;5233.9;167.1;20830;882;308465;133;148;11.8;175;34.5;28.5;703;108.1;145;433;323;187;10;23.6;52.15;17.8;416;4843
T2-N6E1;4657;173.1;22430;760;322842;136;135;8.7;181;33.2;44.4;608;108.2;127;206;321;195;11.2;21.6;76.8;14.8;633;4977
T2-F7D1;8957.2;314.9;29507;1348;291849;96;136;72.8;2964;1451.6;31.5;2184;499.6;811;1292;1116;1424;47.1;60.8;309.6;45.3;819;9088
T2-F7D2;7523.6;275.5;15969;1491;214432;74;116;55.1;2066;1443.6;58.5;1645;447.7;829;1194;1402;1352;29.8;57.4;365.65;54.5;1715;7655
T2-N6E21;5067.7;179.2;16688;897;318220;137;161;12.3;189;37.6;44.8;1002;78.4;143;258;2206;292;1.3;22.4;43.7;21.9;536;5541
T2-N7E22;4852.3;171.2;21871;801;293662;133;139;16.1;420;46.8;39.6;687;107;125;249;381;300;8;21.4;39.45;32.9;371;5354
T2-N7E11;4256.9;156;29952;672;271869;126;127;13.5;309;29;31.2;780;93.6;112;201;1023;283;10.1;18.7;31.9;17.5;554;5049
T2-N7E21;4444.2;154.7;19404;803;277535;133;134;14.4;380;41.6;28.7;667;110.5;119;257;363;258;11.3;19.9;38.4;15.1;454;5362
T2-N7E12;5017.7;159.3;29290;697;294997;132;138;13.8;333;31.6;20.2;654;95.6;125;205;314;245;11.2;21.2;36.45;19.9;402;4956
T2-F8D2;7375.7;283;36586;1297;269821;82;130;41.9;1494;1023.7;23.1;1461;387.8;672;1230;1251;897;38.4;53.4;239.15;85.7;483;8690
T2-F8D1;6822.3;270.5;32135;1264;226679;71;106;47.6;1964;1233.2;26;1534;411.2;736;1302;1414;1205;42.6;54.1;309.25;50.5;406;9099
T2-P8B1;4928.1;161;42896;938;201162;99;109;12.1;429;141.8;25.2;661;130.8;171;336;383;253;17.1;25.2;53.4;29.2;462;5390
T2-N8B2;4197.6;149.9;29110;1356;274216;123;111;12.9;332;38.3;24.6;602;85.7;104;260;510;379;8;18.2;35.45;12.6;404;4641
T2-8B2;17139.4;67.2;16498;2252;55385;290;494;32.5;907;615.5;43.7;2184;582.4;707;1280;1568;599;29.3;104.2;327.35;27.5;1443;25421
T2-F8B2;4333.3;177.4;12188;847;249636;92;93;8.9;274;42.8;20;11764;88.7;97;214;287;731;8;15.5;35.2;7.3;389;5923
T2-8B1;16814.1;73.2;39647;2218;49627;278;459;31.4;887;620.6;36.6;2012;553.9;699;1582;1310;313;46.7;102.4;298.85;44.8;848;21864
T2-F8B1;7608.8;214.1;35232;1169;268049;118;155;11.7;297;73.1;25.3;986;184.9;219;442;825;237;22.6;38.9;67.55;26.4;1426;8194
