name;Объем р-ра H2SO4 (ml)
T2-L1C3;30
T2-L1C4;30
T2-L2C1;45
T2-L2C2;45
E1-L21C1;28
E1-L21C2;26
E2-L23C1;42
E2-L23C2;41
E2-L25C1;34
E2-L25C2;34
E2-L26C1;35
E2-L26C2;35
E2-L27C1;64
E2-L27C2;67
E2-L28C1;362
T2-L3C1;45
T2-L3C2;45
T2-L4C1;45
T2-L4C2;45
T2-L5C1;45
T2-L5C2;45
