name;sample_mass;V (ml);Объем р-ра H2SO4 (ml);pH;Объем суспензии Ca(OH)2;Массовая доля Ca(OH)2;Масса железных окатышей (g);Масса твердого (g)
E2-28C1;989.19;748.724;362;;;;;360.70
E2-L28C1;;;;2.30;1250;0.25;;
E2-P28C1;;;;4.10;;;20;
E2-F28C1;;;;;;;;
E2-N28C1;489.64;400;;;85;0.2;;
