Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 217.895;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200
T1-P19A2;;;10;5;10.03;10.56;10.38;58.94;58.42;0.0506;0.0024;0.84;0.92;1.158;0.1898;0;0.0009;3973;3726;142.9;124.9;4.591;4.76;4.65;16.3;15.83;15.54;15.16;15.6;0.2728;4072;0.9623;0.95;0.9765;6.395;6.137;8.065;6.011;0.7371;0.6625
T1-L19A1;;;10;5;148.9;150.1;145;61.3;60.77;0.0609;0.0028;1.353;1.409;1.762;4.2;3.847;4.09;4426;4044;156.3;140.9;6.719;6.963;6.825;38.95;38.29;37.85;37.14;37.8;0.3877;11070;0.8997;0.8873;0.916;5.608;5.294;7.645;5.177;0.9897;0.8655
T1-L19A2;;;10;5;155.2;156.4;150.8;66.13;65.4;0.0614;0.0016;1.396;1.457;1.823;4.357;3.984;4.233;4218;4052;162.8;145.1;6.958;7.258;7.063;40.19;39.58;39.05;38.32;39.1;0.3992;11300;0.8961;0.8888;0.9139;5.149;4.787;7.258;4.672;1.017;0.893
T1-N19A1;;;10;5;0.6369;0.6513;0.6695;81.44;80.49;0.0006;0.0009;0.0067;0.0061;0.0042;0.0125;0.0081;0.0108;37.86;35.96;0.9973;0.9377;0.0302;0.0308;0.0307;0.1396;0.1377;0.1327;0.1298;0.1359;0.0064;403.4;1.103;1.094;1.109;0.295;0.3029;0.3019;0.2917;0.0125;0.0129
T1-N19A2;;;10;5;0.2141;0.23;0.2285;76.59;75.6;0.0006;0.0015;0.0032;0.0022;0.0008;0.003;0;0.0003;14.4;13.77;29.81;28.14;0.0861;0.0877;0.0863;0.0311;0.0289;0.0275;0.0258;0.0291;0.0057;396.2;1.094;1.084;1.098;0.3402;0.3337;0.3426;0.3324;0.0092;0.01
T1-N19G1;;;10;5;0;0.022;0.0116;70.52;69.77;0.0006;0.0009;0.0035;0.0018;0.0012;0.0031;0;0;0.4508;0.4388;0.2006;0.1765;0.0007;0.0006;0.0009;0.0038;0.0021;0.0029;0.0015;0.0027;0.0025;336.9;1.112;1.1;1.112;0.0776;0.0742;0.0785;0.0715;0.0083;0.0085
T1-N19G2;;;10;5;0.0347;0.0535;0.0438;59.27;58.62;0.0004;0.001;0.0043;0.003;0.0016;0.0057;0.0015;0.0022;9.459;9.022;29.77;27.73;0.091;0.0924;0.0911;0.0085;0.0056;0.0072;0.0049;0.0066;0.0025;368.8;1.112;1.1;1.112;0.1247;0.123;0.127;0.1194;0.0144;0.0154
T1-F19Z1;;;10;5;0.1536;0.2064;0.1731;45.29;44.66;0.0059;0.0002;0.0923;0.1049;0.1093;0.0169;0;0.0009;787.8;735;19.28;18.69;0.5814;0.5919;0.5891;3.178;3.134;3.076;3.006;3.093;0.0345;792;1.095;1.08;1.093;0.5642;0.547;0.6993;0.5293;0.1587;0.1534
T1-F19Z2;;;10;5;0.915;0.9877;0.9809;46.78;46.11;0.0077;0.0007;0.1207;0.1368;0.1456;0.0266;0;0;1107;971.3;21.81;21.37;0.6696;0.6831;0.6792;3.594;3.522;3.474;3.376;3.467;0.0455;909.3;1.082;1.069;1.084;0.7569;0.7269;0.9322;0.7074;0.1505;0.1425
T1-F19A1;;;10;5;4.769;4.969;4.979;54.16;53.82;0.0176;0.0005;0.2316;0.2758;0.3185;0.0534;0;0;2646;2248;49.45;48.88;1.56;1.577;1.559;6.016;5.841;5.733;5.589;5.742;0.098;1621;1.045;1.033;1.049;2.791;2.772;3.297;2.71;0.3275;0.306
T1-F19A2;;;10;5;1.737;1.901;1.847;54.27;53.56;0.0167;0.0004;0.1927;0.2334;0.2727;0.0589;0;0;2539;2159;51.73;50.93;1.629;1.644;1.627;3.136;2.959;2.904;2.841;2.916;0.0886;1552;1.052;1.038;1.052;2.311;2.26;2.738;2.205;0.4278;0.4115
