name;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
T2-L2P2B1;6.1882;200.0;20670.0;0.776;234.88;0.1435;217.0;0.049;1.232;0.219;0.089;0.001229;0.0002;0.000245;0.00046;0.00072;0.000368;2.1e-05;3.5e-05;8.8e-05;1.8e-05;0.00787
T2-L2P2B2;10.06;340.0;6170.0;1.367;350.03;0.2395;332.0;0.075;2.07;0.375;0.121;0.001906;0.00035;0.000414;0.00071;0.00104;0.000627;1.9e-05;5.6e-05;0.000143;1.7e-05;0.01407
T2-L2P2F2B1;6.7827;200.0;11960.0;0.919;255.31;0.1381;225.0;0.011;0.266;0.055;0.085;0.000961;0.00018;0.000206;0.00033;0.00057;0.000237;1.8e-05;3.3e-05;7.5e-05;1.9e-05;0.00752
T2-L2P2F2B2;10.118;310.0;32640.0;1.383;382.35;0.1866;307.0;0.016;0.432;0.212;0.08;0.001494;0.00029;0.000355;0.00064;0.00104;0.000271;3.3e-05;5.6e-05;0.000114;2.7e-05;0.01385
T2-L2P2F2N2B1;6.8754;230.0;43880.0;0.814;340.82;0.2949;277.0;0.014;0.491;0.058;0.06;0.001128;0.00017;0.000206;0.00037;0.00053;0.000488;5e-06;3.4e-05;6e-05;6e-05;0.00743
T2-L2P2F2N2B2;7.8811;260.0;24710.0;0.955;371.95;0.31639999999999996;323.0;0.018;0.616;0.08;0.163;0.001364;0.00024;0.000304;0.00055;0.00117;0.000459;3.3e-05;4.2e-05;9.8e-05;4.3e-05;0.01228
T2-L2P2F2N2B2;6.394100000000001;230.0;33890.0;0.787;341.77;0.2753;277.0;0.014;0.45;0.061;0.085;0.001055;0.00018;0.000206;0.0003;0.00073;0.000387;2.1e-05;3.2e-05;5.7e-05;0.000102;0.00815
T2-L2P2F2N2B2;6.8035;240.0;43590.0;1.066;328.51;0.2713;279.0;0.016;0.504;0.073;0.188;0.00117;0.00014;0.000245;0.00042;0.00082;0.000477;5e-06;3.8e-05;9.3e-05;2.2e-05;0.01847
T2-L3A1;196.49;11400.0;39860.0;15.546;47.916;6.1022;7418.0;0.982;28.812;6.906;1.052;0.0486396;0.0112;0.002097;0.0019;0.00194;0.00456;0.00112;0.00195;7.840000000000001e-05;0.000174;0.06982
T2-L3A1;252.1;13900.0;46540.0;21.922;51.92;7.6418;8850.0;1.12;32.74;8.562;1.224;0.06638;0.0158;0.003081;0.0029;0.00284;0.00622;0.001734;0.002762;0.0001409;0.000416;0.12342
T2-L3B1;7.8155;250.0;20920.0;2.008;42.033;0.21780000000000002;164.0;0.032;0.748;0.312;0.322;0.0009;0.00024;0.000838;0.00092;0.00174;0.000339;3.1e-05;4.4e-05;0.000293;5e-05;0.02168
T2-L3B2;10.635;370.0;24400.0;2.322;65.145;0.30069999999999997;223.0;0.042;0.959;0.462;0.193;0.001315;0.00036;0.001228;0.00169;0.00242;0.00041;4.9e-05;6.4e-05;0.000423;7.1e-05;0.03665
T2-L3P3A1;4.2858;3580.0;56440.0;0.296;72.852;4.9271;5723.0;0.361;1.653;0.062;0.527;0.0020551;0.0001;3.6e-05;7e-05;0.00013;0.000187;9.2e-05;1.7e-05;7.5e-06;2.8e-05;0.00195
T2-L3P3A2;4.3997;3580.0;71690.0;0.45;88.755;4.5857;5670.0;0.263;2.244;0.044;0.438;0.0021298000000000003;7e-05;2.7e-05;6e-05;0.00015;0.000225;1.9e-05;1.1e-05;9e-06;2.2e-05;0.00237
T2-L3P3B1;7.0939;215.0;9675.0;1.301;211.825;0.1817;189.0;0.0205;0.7465;0.2205;0.1745;0.0016235;0.00022;0.0002645;0.00023;0.00067;0.000419;1.55e-05;3.65e-05;8.9e-05;9e-06;0.011385
T2-L3P3B2;5.929600000000001;220.0;23800.0;1.2605;213.775;0.15630000000000002;181.0;0.0225;0.648;0.203;0.0945;0.001174;0.00021;0.0002705;0.000465;0.00101;0.000442;9e-06;3.15e-05;8.85e-05;2.4e-05;0.009165
